ID,account_ID,noteDate,noteType,noteText,isInternal
f6000001-0001-4000-8000-000000000001,a1000001-0001-4000-8000-000000000001,2026-03-15T09:30:00Z,GENERAL,Customer enquired about eBilling enrolment. Guided through portal registration process.,false
f6000001-0001-4000-8000-000000000002,a1000001-0001-4000-8000-000000000011,2026-02-20T10:00:00Z,COLLECTIONS,Called customer regarding overdue balance RM125.40. Customer acknowledged and promised payment by 15 Mar.,true
f6000001-0001-4000-8000-000000000003,a1000001-0001-4000-8000-000000000018,2026-01-15T14:30:00Z,HARDSHIP,Hardship application received. Customer is B40 household with documented income below RM2000/month. Approved for hardship programme.,true
f6000001-0001-4000-8000-000000000004,a1000001-0001-4000-8000-000000000022,2025-12-18T11:00:00Z,DISPUTE,Customer disputes meter reading for Nov 2025. Claims property was vacant during period. Field inspection requested.,false
f6000001-0001-4000-8000-000000000005,a1000001-0001-4000-8000-000000000024,2025-12-05T09:45:00Z,HARDSHIP,Hardship renewal reviewed. Customer still meets B40 criteria. Extended hardship status for additional 6 months.,true
f6000001-0001-4000-8000-000000000006,a1000001-0001-4000-8000-000000000026,2025-11-05T10:30:00Z,COLLECTIONS,Account disconnected due to non-payment. Multiple attempts to contact customer unsuccessful. Notice posted to service address.,true
f6000001-0001-4000-8000-000000000007,a1000001-0001-4000-8000-000000000027,2025-10-20T15:00:00Z,COLLECTIONS,Disconnection executed. Customer contacted post-disconnection requesting reconnection. Advised to clear outstanding balance of RM3100.80.,true
f6000001-0001-4000-8000-000000000008,a1000001-0001-4000-8000-000000000039,2026-03-05T10:00:00Z,GENERAL,AEON facilities management requested breakdown of consumption by meter for multi-zone billing. Referred to technical team.,false
f6000001-0001-4000-8000-000000000009,a1000001-0001-4000-8000-000000000042,2026-01-15T11:30:00Z,PTP,Golf resort management committed to clearing balance via monthly instalments. Payment plan established - 6 months at RM750/month.,true
f6000001-0001-4000-8000-000000000010,a1000001-0001-4000-8000-000000000043,2025-12-15T09:00:00Z,COLLECTIONS,D Tempat Country Club account restricted due to persistent arrears. Legal notice issued. Management meeting scheduled.,true
f6000001-0001-4000-8000-000000000011,a1000001-0001-4000-8000-000000000044,2026-03-01T08:30:00Z,GENERAL,FELDA Jempol requested tariff review for bulk industrial consumption. Forwarded to tariff department for assessment.,false
f6000001-0001-4000-8000-000000000012,a1000001-0001-4000-8000-000000000047,2026-02-28T14:00:00Z,GENERAL,Government office requested consolidated billing statement for audit purposes. Generated and emailed to finance department.,false
f6000001-0001-4000-8000-000000000013,a1000001-0001-4000-8000-000000000049,2026-03-10T10:00:00Z,GENERAL,Hospital maintenance department reported suspected meter malfunction. Meter inspection scheduled for next week.,false
f6000001-0001-4000-8000-000000000014,a1000001-0001-4000-8000-000000000037,2026-02-15T11:00:00Z,DISPUTE,Bengkel Wah Auto disputes high consumption reading. Claims business was partially closed during holiday period. Under investigation.,false
f6000001-0001-4000-8000-000000000015,a1000001-0001-4000-8000-000000000023,2026-01-10T09:30:00Z,PTP,Customer agreed to payment plan for outstanding RM650.20. Monthly instalments of RM108.37 over 6 months approved.,true
f6000001-0001-4000-8000-000000000016,a1000001-0001-4000-8000-000000000021,2025-12-25T10:00:00Z,COLLECTIONS,Customer contacted regarding disconnection notice. Acknowledged debt but unable to pay in full. Advised on payment plan options.,true
f6000001-0001-4000-8000-000000000017,a1000001-0001-4000-8000-000000000005,2026-03-18T09:15:00Z,SYSTEM,eMandate payment successfully processed for Feb 2026 billing cycle. Auto-deduction confirmed by bank.,true
f6000001-0001-4000-8000-000000000018,a1000001-0001-4000-8000-000000000034,2026-02-01T14:30:00Z,COLLECTIONS,Hotel Seri Malaysia - second dunning notice issued. Contacted hotel management. Payment expected after quarter-end budget release.,true
f6000001-0001-4000-8000-000000000019,a1000001-0001-4000-8000-000000000050,2026-02-25T10:45:00Z,GENERAL,USIM facilities department requested water consumption report for sustainability audit. Report generated covering 12-month period.,false
f6000001-0001-4000-8000-000000000020,a1000001-0001-4000-8000-000000000046,2026-03-05T11:00:00Z,COLLECTIONS,Perusahaan Makanan NS - partial payment received RM4000. Remaining RM3200.70 outstanding on Jan invoice. Follow-up scheduled.,true
